SEASON,TEAM_ID,TEAM_NAME,W,L,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,PTS
2010-11,1610612752,New York Knicks,42,40,38.3,83.7,0.457,9.3,25.4,0.368,20.6,25.5,0.809,40.5,21.4,7.6,5.8,106.5
2010-11,1610612760,Oklahoma City Thunder,55,27,37.4,80.6,0.464,5.9,17.1,0.347,24.1,29.3,0.823,42.8,20.4,8.0,5.9,104.8
2010-11,1610612753,Orlando Magic,52,30,36.0,78.2,0.461,9.4,25.6,0.366,17.7,25.6,0.692,43.2,20.0,6.7,4.7,99.2
2010-11,1610612755,Philadelphia 76ers,41,41,38.1,82.6,0.461,5.4,15.2,0.355,17.4,22.6,0.77,41.8,22.7,7.6,4.3,99.0
2010-11,1610612756,Phoenix Suns,40,42,39.3,83.5,0.47,8.5,22.6,0.377,18.0,23.6,0.759,40.2,23.7,6.6,4.4,105.0
2010-11,1610612757,Portland Trail Blazers,48,34,36.0,80.5,0.447,6.3,18.3,0.345,18.0,22.4,0.804,39.3,21.2,8.0,4.4,96.3
2010-11,1610612758,Sacramento Kings,24,58,38.2,85.1,0.449,5.2,15.6,0.335,17.7,24.2,0.734,43.9,20.4,7.4,4.8,99.4
2010-11,1610612759,San Antonio Spurs,61,21,38.4,80.8,0.475,8.4,21.1,0.397,18.5,24.2,0.767,41.9,22.4,7.3,4.5,103.7
2010-11,1610612761,Toronto Raptors,22,60,38.3,82.4,0.465,4.2,13.3,0.316,18.2,24.1,0.755,40.3,21.9,7.1,4.3,99.1
2010-11,1610612762,Utah Jazz,39,43,37.4,80.4,0.465,5.3,15.3,0.346,19.4,25.1,0.771,39.5,23.4,7.7,5.9,99.4
2010-11,1610612764,Washington Wizards,23,59,37.2,84.0,0.443,4.8,14.4,0.332,18.2,24.4,0.745,41.3,19.4,8.1,6.1,97.3
2011-12,1610612737,Atlanta Hawks,40,26,36.8,81.0,0.454,7.5,20.2,0.37,15.5,21.0,0.74,41.2,22.4,8.1,4.6,96.6
2011-12,1610612738,Boston Celtics,39,27,35.5,77.1,0.46,5.5,15.0,0.367,15.4,19.8,0.778,38.8,23.6,7.5,5.5,91.8
2011-12,1610612766,Charlotte Bobcats,7,59,33.2,80.2,0.414,4.0,13.5,0.295,16.5,22.2,0.746,39.0,20.1,6.0,5.5,87.0
2011-12,1610612741,Chicago Bulls,50,16,37.4,82.8,0.452,6.3,16.9,0.375,15.2,21.1,0.722,46.7,23.1,6.9,5.9,96.3
2011-12,1610612739,Cleveland Cavaliers,21,45,34.3,81.2,0.422,6.7,19.3,0.346,17.8,24.9,0.716,42.3,19.8,7.1,4.0,93.0
2011-12,1610612742,Dallas Mavericks,36,30,36.3,82.0,0.443,7.5,22.2,0.339,15.6,20.2,0.771,42.8,20.9,8.6,5.1,95.8
2011-12,1610612743,Denver Nuggets,38,28,39.0,81.9,0.476,6.6,19.9,0.332,19.6,26.7,0.735,43.1,24.0,8.2,5.0,104.1
2011-12,1610612765,Detroit Pistons,25,41,34.7,79.3,0.438,4.8,13.9,0.346,16.6,22.1,0.752,40.3,18.7,7.0,4.2,90.9
2011-12,1610612744,Golden State Warriors,23,43,37.7,82.5,0.457,7.9,20.5,0.388,14.4,18.7,0.77,39.2,22.3,8.0,5.5,97.8
2011-12,1610612745,Houston Rockets,34,32,37.7,84.0,0.449,7.2,20.2,0.359,15.4,19.7,0.782,42.2,21.3,7.5,4.8,98.1
2011-12,1610612754,Indiana Pacers,42,24,35.7,81.4,0.438,5.9,16.1,0.368,20.4,26.1,0.782,43.9,18.6,7.9,5.4,97.7
2011-12,1610612746,Los Angeles Clippers,40,26,37.0,81.3,0.455,7.8,21.8,0.357,15.8,23.3,0.68,41.6,21.0,8.4,4.8,97.5
2011-12,1610612747,Los Angeles Lakers,41,25,36.8,80.6,0.457,5.5,16.8,0.326,18.2,24.1,0.756,46.2,22.5,5.9,5.3,97.3
2011-12,1610612763,Memphis Grizzlies,41,25,36.7,82.2,0.447,4.2,12.9,0.326,17.3,22.8,0.759,42.0,19.5,9.6,5.2,95.0
2011-12,1610612748,Miami Heat,46,20,37.1,79.0,0.469,5.6,15.6,0.359,18.8,24.2,0.775,41.6,20.0,8.9,5.4,98.5
2011-12,1610612749,Milwaukee Bucks,31,35,37.9,85.6,0.443,6.6,19.2,0.345,16.6,21.4,0.774,42.5,23.5,8.3,5.1,99.0
2011-12,1610612750,Minnesota Timberwolves,26,40,35.7,82.3,0.433,7.2,21.6,0.332,19.4,25.2,0.771,43.7,19.5,6.6,4.4,97.9
2011-12,1610612751,New Jersey Nets,22,44,34.3,80.6,0.425,7.7,22.4,0.342,16.9,21.7,0.777,40.3,19.9,7.5,3.9,93.1
2011-12,1610612740,New Orleans Hornets,21,45,34.8,77.3,0.451,3.9,11.8,0.333,16.0,21.2,0.757,41.1,20.7,7.4,4.8,89.6
2011-12,1610612752,New York Knicks,36,30,35.8,80.8,0.443,7.8,23.3,0.336,18.3,24.8,0.741,41.7,20.1,9.4,4.2,97.8
2011-12,1610612760,Oklahoma City Thunder,47,19,37.3,79.2,0.471,7.2,20.0,0.358,21.3,26.4,0.806,43.7,18.5,7.5,8.2,103.1
2011-12,1610612753,Orlando Magic,37,29,34.5,78.2,0.441,10.2,27.0,0.375,15.1,22.8,0.66,42.5,20.0,6.8,4.2,94.2
2011-12,1610612755,Philadelphia 76ers,35,31,37.4,83.6,0.448,5.3,14.6,0.362,13.5,18.2,0.742,43.2,22.0,8.0,5.2,93.6
2011-12,1610612756,Phoenix Suns,33,33,37.8,82.5,0.458,6.7,19.6,0.343,16.0,21.2,0.757,41.7,22.5,6.5,5.5,98.4
2011-12,1610612757,Portland Trail Blazers,28,38,36.4,82.1,0.443,7.2,20.9,0.346,17.2,21.6,0.796,40.7,20.4,8.0,4.9,97.2
2011-12,1610612758,Sacramento Kings,22,44,37.7,86.5,0.436,6.2,19.7,0.316,17.1,23.2,0.736,42.9,19.3,8.5,4.9,98.8
2011-12,1610612759,San Antonio Spurs,50,16,39.6,82.8,0.478,8.4,21.3,0.393,16.2,21.6,0.748,43.0,23.2,7.4,4.4,103.7
2011-12,1610612761,Toronto Raptors,23,43,34.4,78.1,0.44,5.5,16.3,0.34,16.4,21.4,0.77,42.0,20.9,6.5,4.9,90.7
2011-12,1610612762,Utah Jazz,36,30,38.2,83.8,0.456,4.1,12.8,0.323,19.1,25.3,0.754,44.2,21.8,8.3,5.8,99.7
2011-12,1610612764,Washington Wizards,20,46,36.6,83.0,0.441,5.2,16.3,0.32,15.3,21.0,0.727,41.7,19.1,8.0,6.3,93.6
2012-13,1610612737,Atlanta Hawks,44,38,37.6,81.0,0.464,8.6,23.2,0.371,14.1,19.7,0.715,40.9,24.5,8.1,4.5,98.0
2012-13,1610612738,Boston Celtics,41,40,37.0,79.7,0.465,6.1,17.2,0.358,16.3,21.0,0.776,39.3,22.8,8.2,4.5,96.5
2012-13,1610612751,Brooklyn Nets,49,33,35.9,79.8,0.45,7.7,21.5,0.357,17.5,23.9,0.731,42.8,20.3,7.3,4.8,96.9
2012-13,1610612766,Charlotte Bobcats,21,61,34.4,81.1,0.425,5.7,17.1,0.335,18.9,25.1,0.75,40.3,19.4,7.2,5.8,93.4
2012-13,1610612741,Chicago Bulls,45,37,35.7,81.7,0.437,5.4,15.4,0.353,16.4,21.2,0.773,43.2,23.0,7.2,5.1,93.2
2012-13,1610612739,Cleveland Cavaliers,24,58,36.5,84.2,0.434,6.7,19.3,0.346,16.8,22.3,0.756,41.0,20.7,7.9,4.1,96.5
2012-13,1610612742,Dallas Mavericks,41,41,38.8,84.0,0.462,7.4,19.9,0.372,16.1,20.4,0.793,41.9,23.2,7.9,5.5,101.1
2012-13,1610612743,Denver Nuggets,57,25,40.7,85.2,0.478,6.4,18.5,0.343,18.4,26.2,0.701,45.0,24.4,9.3,6.5,106.1
2012-13,1610612765,Detroit Pistons,29,53,36.3,81.0,0.449,6.3,17.6,0.356,15.9,22.8,0.699,42.1,21.2,7.0,4.9,94.9
2012-13,1610612744,Golden State Warriors,47,35,38.2,83.4,0.458,8.0,19.9,0.403,16.8,21.3,0.79,45.0,22.5,6.9,4.2,101.2
2012-13,1610612745,Houston Rockets,45,37,38.1,82.7,0.461,10.6,28.9,0.366,19.2,25.5,0.754,43.4,23.2,8.3,4.4,106.0
2012-13,1610612754,Indiana Pacers,49,32,35.1,80.6,0.436,6.9,19.7,0.347,17.6,23.6,0.746,45.9,20.3,7.2,6.3,94.7
2012-13,1610612746,Los Angeles Clippers,56,26,38.5,80.6,0.478,7.6,21.4,0.358,16.4,23.0,0.711,41.6,23.9,9.6,5.6,101.1
2012-13,1610612747,Los Angeles Lakers,45,37,37.1,81.0,0.458,8.7,24.6,0.355,19.3,27.9,0.692,44.8,22.2,7.0,5.2,102.2
2012-13,1610612763,Memphis Grizzlies,56,26,36.1,81.5,0.444,4.7,13.5,0.345,16.5,21.3,0.773,42.7,20.9,8.6,5.3,93.4
2012-13,1610612748,Miami Heat,66,16,38.4,77.4,0.496,8.7,22.1,0.396,17.4,23.0,0.754,38.6,23.0,8.7,5.4,102.9
2012-13,1610612749,Milwaukee Bucks,38,44,38.1,87.8,0.435,7.3,20.4,0.36,15.3,20.7,0.736,44.0,22.9,8.4,6.7,98.9
2012-13,1610612750,Minnesota Timberwolves,31,51,35.9,81.7,0.439,5.5,18.0,0.305,18.5,24.9,0.742,42.0,22.4,8.5,4.7,95.7
2012-13,1610612740,New Orleans Hornets,27,55,36.0,80.4,0.448,6.5,18.0,0.363,15.5,20.0,0.776,41.6,21.0,6.3,5.4,94.1
2012-13,1610612752,New York Knicks,54,28,36.5,81.6,0.448,10.9,28.9,0.376,16.0,21.1,0.759,40.6,19.3,8.2,3.6,100.0
2012-13,1610612760,Oklahoma City Thunder,60,22,38.1,79.3,0.481,7.3,19.4,0.377,22.2,26.8,0.828,43.6,21.4,8.3,7.6,105.7
2012-13,1610612753,Orlando Magic,20,62,37.7,84.2,0.448,6.2,18.7,0.329,12.5,16.6,0.755,42.7,22.8,6.4,4.4,94.1
2012-13,1610612755,Philadelphia 76ers,34,48,37.3,84.1,0.444,6.3,17.5,0.36,12.2,16.8,0.729,41.3,22.8,7.4,4.7,93.2
2012-13,1610612756,Phoenix Suns,25,57,37.3,84.4,0.443,5.9,17.7,0.33,14.7,19.7,0.744,41.6,22.6,8.0,5.3,95.2
2012-13,1610612757,Portland Trail Blazers,33,49,36.7,81.9,0.448,8.2,23.2,0.353,15.9,20.5,0.776,40.8,21.8,6.6,4.3,97.5
2012-13,1610612758,Sacramento Kings,28,54,37.6,84.2,0.447,7.4,20.5,0.363,17.5,22.8,0.769,40.6,20.8,8.2,4.2,100.2
2012-13,1610612759,San Antonio Spurs,58,24,39.1,81.4,0.481,8.1,21.5,0.376,16.6,21.0,0.791,41.3,25.1,8.5,5.4,103.0
2012-13,1610612761,Toronto Raptors,34,48,36.3,81.5,0.446,7.0,20.3,0.343,17.6,22.3,0.788,40.2,21.5,7.3,4.8,97.2
2012-13,1610612762,Utah Jazz,43,39,37.1,81.8,0.454,6.2,16.9,0.366,17.5,23.0,0.764,42.0,22.7,8.4,6.3,98.0
2012-13,1610612764,Washington Wizards,29,53,35.5,81.6,0.435,6.6,18.2,0.365,15.6,21.3,0.733,43.2,21.6,7.3,4.6,93.2
2013-14,1610612737,Atlanta Hawks,38,44,37.3,81.6,0.458,9.4,25.8,0.363,17.0,21.7,0.781,40.0,24.9,8.3,4.0,101.0
2013-14,1610612738,Boston Celtics,25,57,36.5,83.9,0.435,7.0,21.1,0.333,16.2,20.8,0.777,42.5,21.0,7.1,4.2,96.2
2013-14,1610612751,Brooklyn Nets,44,38,35.7,77.9,0.459,8.6,23.4,0.369,18.4,24.4,0.753,38.1,20.9,8.6,3.8,98.5
2013-14,1610612766,Charlotte Bobcats,43,39,36.3,82.1,0.442,6.3,17.9,0.351,18.0,24.4,0.737,42.7,21.7,6.1,5.1,96.9
2013-14,1610612741,Chicago Bulls,48,34,34.7,80.2,0.432,6.2,17.8,0.348,18.1,23.3,0.779,44.1,22.7,7.2,5.2,93.7
2013-14,1610612739,Cleveland Cavaliers,33,49,37.0,84.8,0.437,7.1,20.0,0.356,17.0,22.7,0.751,44.1,21.2,7.1,3.7,98.2
2013-14,1610612742,Dallas Mavericks,49,33,39.6,83.6,0.474,8.8,22.9,0.384,16.8,21.1,0.795,40.9,23.6,8.6,4.3,104.8
2013-14,1610612743,Denver Nuggets,36,46,38.4,85.9,0.447,8.6,23.9,0.358,19.1,26.3,0.726,45.4,22.4,7.5,5.6,104.4
2013-14,1610612765,Detroit Pistons,29,53,38.8,86.9,0.447,6.2,19.3,0.321,17.3,25.7,0.67,45.4,20.9,8.4,4.8,101.0
2013-14,1610612744,Golden State Warriors,51,31,39.5,85.4,0.462,9.4,24.8,0.38,15.9,21.1,0.753,45.3,23.3,7.8,5.0,104.3
2013-14,1610612745,Houston Rockets,54,28,38.0,80.5,0.472,9.5,26.6,0.358,22.1,31.1,0.712,45.3,21.4,7.6,5.6,107.7
2013-14,1610612754,Indiana Pacers,56,26,36.0,80.2,0.449,6.7,18.8,0.357,18.1,23.3,0.779,44.7,20.1,6.7,5.4,96.7
2013-14,1610612746,Los Angeles Clippers,57,25,39.1,82.5,0.474,8.5,24.0,0.352,21.2,29.1,0.73,43.0,24.6,8.6,4.8,107.9
2013-14,1610612747,Los Angeles Lakers,27,55,38.3,85.1,0.45,9.4,24.8,0.381,17.0,22.4,0.757,41.0,24.5,7.5,5.4,103.0
2013-14,1610612763,Memphis Grizzlies,50,32,38.1,82.0,0.464,4.9,14.0,0.353,15.1,20.3,0.741,42.4,21.9,7.7,4.6,96.1
2013-14,1610612748,Miami Heat,54,28,38.3,76.5,0.501,8.1,22.3,0.364,17.5,23.0,0.76,36.9,22.5,8.9,4.5,102.2
2013-14,1610612749,Milwaukee Bucks,15,67,36.0,82.2,0.438,6.7,18.9,0.353,16.8,22.5,0.747,41.1,21.5,6.6,4.9,95.5
2013-14,1610612750,Minnesota Timberwolves,40,42,38.9,87.5,0.444,7.3,21.4,0.341,21.8,28.1,0.778,44.7,23.9,8.8,3.6,106.9
2013-14,1610612740,New Orleans Pelicans,34,48,37.8,82.5,0.459,5.9,15.9,0.373,18.2,23.6,0.769,41.7,21.3,7.9,6.4,99.7
2013-14,1610612752,New York Knicks,37,45,36.9,82.2,0.449,9.3,24.9,0.372,15.5,20.4,0.761,40.3,20.0,7.7,4.5,98.6
2013-14,1610612760,Oklahoma City Thunder,59,23,39.0,82.7,0.471,8.1,22.4,0.361,20.2,25.0,0.806,44.7,21.9,8.3,6.1,106.2
2013-14,1610612753,Orlando Magic,23,59,36.9,82.7,0.445,6.9,19.5,0.353,15.9,20.9,0.763,42.0,21.0,7.7,4.3,96.5
2013-14,1610612755,Philadelphia 76ers,19,63,37.9,87.2,0.435,7.0,22.5,0.312,16.6,23.4,0.71,42.7,21.8,9.3,4.0,99.5
2013-14,1610612756,Phoenix Suns,48,34,38.7,83.5,0.463,9.3,25.1,0.372,18.5,24.4,0.758,43.0,19.1,8.4,4.6,105.2
2013-14,1610612757,Portland Trail Blazers,54,28,39.1,87.0,0.45,9.4,25.3,0.372,19.1,23.5,0.815,46.4,23.2,5.5,4.7,106.7
2013-14,1610612758,Sacramento Kings,28,54,36.9,82.5,0.447,6.0,18.0,0.333,20.7,27.3,0.759,44.5,18.9,7.2,3.9,100.5
2013-14,1610612759,San Antonio Spurs,62,20,40.6,83.5,0.486,8.5,21.4,0.397,15.7,20.0,0.785,43.3,25.2,7.4,5.1,105.4
2013-14,1610612761,Toronto Raptors,48,34,36.5,81.9,0.445,8.7,23.4,0.372,19.6,25.1,0.782,42.5,21.2,7.0,4.2,101.3
2013-14,1610612762,Utah Jazz,25,57,36.0,81.1,0.444,6.6,19.2,0.344,16.4,22.0,0.747,41.2,20.3,7.0,4.5,95.0
2013-14,1610612764,Washington Wizards,44,38,38.7,84.4,0.459,7.9,20.8,0.38,15.3,20.9,0.731,42.2,23.3,8.1,4.6,100.7
2014-15,1610612737,Atlanta Hawks,60,22,38.1,81.7,0.466,10.0,26.2,0.38,16.5,21.2,0.778,40.6,25.7,9.1,4.6,102.5
2014-15,1610612738,Boston Celtics,40,42,38.9,87.9,0.443,8.0,24.6,0.327,15.4,20.5,0.754,43.8,24.5,8.2,3.6,101.4
2014-15,1610612751,Brooklyn Nets,38,44,37.4,83.0,0.451,6.6,19.9,0.331,16.6,22.2,0.748,42.4,20.9,7.0,4.1,98.0
2014-15,1610612766,Charlotte Hornets,33,49,35.5,84.5,0.42,6.1,19.1,0.318,17.0,22.8,0.748,44.1,20.2,6.1,5.5,94.2
2014-15,1610612741,Chicago Bulls,50,32,36.6,82.9,0.442,7.9,22.3,0.353,19.7,25.2,0.783,45.7,21.7,6.3,5.8,100.8
2014-15,1610612739,Cleveland Cavaliers,53,29,37.7,82.2,0.458,10.1,27.5,0.367,17.7,23.6,0.751,43.0,22.1,7.4,4.1,103.1
2014-15,1610612742,Dallas Mavericks,50,32,39.7,85.8,0.463,8.9,25.4,0.352,16.9,22.5,0.752,42.3,22.5,8.1,4.5,105.2
2014-15,1610612743,Denver Nuggets,30,52,37.8,87.3,0.433,8.0,24.8,0.325,17.8,24.3,0.734,44.7,21.8,7.8,4.5,101.5
2014-15,1610612765,Detroit Pistons,32,50,37.1,85.8,0.432,8.6,24.9,0.344,15.8,22.4,0.703,44.9,21.6,7.6,4.7,98.5
2014-15,1610612744,Golden State Warriors,67,15,41.6,87.0,0.478,10.8,27.0,0.398,16.0,20.8,0.768,44.7,27.4,9.3,6.0,110.0
2014-15,1610612745,Houston Rockets,56,26,37.0,83.3,0.444,11.4,32.7,0.348,18.6,26.0,0.715,43.7,22.2,9.5,5.0,103.9
2014-15,1610612754,Indiana Pacers,38,44,36.6,83.2,0.439,7.5,21.2,0.352,16.7,22.2,0.756,44.9,21.4,6.2,4.6,97.3
2014-15,1610612746,Los Angeles Clippers,56,26,39.4,83.3,0.473,10.1,26.9,0.376,17.9,25.2,0.71,42.6,24.8,7.8,5.0,106.7
2014-15,1610612747,Los Angeles Lakers,21,61,37.2,85.6,0.435,6.5,18.9,0.344,17.5,23.6,0.741,43.9,20.9,7.0,4.5,98.5
2014-15,1610612763,Memphis Grizzlies,55,27,37.8,82.5,0.458,5.2,15.2,0.339,17.6,22.8,0.773,42.6,21.7,8.5,4.2,98.3
2014-15,1610612748,Miami Heat,37,45,35.2,77.2,0.456,6.8,20.2,0.335,17.5,23.7,0.741,39.1,19.8,7.8,4.5,94.7
2014-15,1610612749,Milwaukee Bucks,41,41,37.6,82.0,0.459,6.6,18.3,0.363,16.0,21.1,0.757,42.1,23.6,9.6,4.9,97.8
2014-15,1610612750,Minnesota Timberwolves,16,66,36.4,83.2,0.438,5.0,14.9,0.332,20.0,25.7,0.776,40.9,21.6,8.1,4.0,97.8
2014-15,1610612740,New Orleans Pelicans,45,37,37.9,82.9,0.457,7.1,19.3,0.37,16.4,21.8,0.751,43.5,22.0,6.7,6.2,99.4
2014-15,1610612752,New York Knicks,17,65,35.1,82.0,0.428,6.8,19.7,0.347,14.8,19.2,0.769,40.4,21.3,7.0,4.7,91.9
2014-15,1610612760,Oklahoma City Thunder,45,37,38.8,86.8,0.447,7.7,22.7,0.339,18.6,24.6,0.754,47.5,20.5,7.3,5.5,104.0
2014-15,1610612753,Orlando Magic,25,57,37.5,82.8,0.453,6.8,19.5,0.347,13.9,19.1,0.729,41.8,20.6,7.9,3.8,95.7
2014-15,1610612755,Philadelphia 76ers,18,64,33.7,82.6,0.408,8.4,26.3,0.32,16.1,23.8,0.676,42.9,20.5,9.6,5.9,92.0
2014-15,1610612756,Phoenix Suns,39,43,38.8,85.8,0.452,8.5,25.0,0.341,16.4,21.5,0.76,43.2,20.2,8.5,4.7,102.4
2014-15,1610612757,Portland Trail Blazers,51,31,38.7,86.0,0.45,9.8,27.2,0.362,15.5,19.4,0.801,45.9,21.9,6.4,4.5,102.8
2014-15,1610612758,Sacramento Kings,29,53,36.7,80.7,0.455,5.6,16.5,0.341,22.3,29.3,0.762,44.2,20.3,6.7,4.0,101.3
2014-15,1610612759,San Antonio Spurs,55,27,39.1,83.6,0.468,8.3,22.5,0.367,16.7,21.4,0.78,43.6,24.4,8.0,5.4,103.2
2014-15,1610612761,Toronto Raptors,49,33,37.9,83.3,0.455,8.9,25.1,0.352,19.3,24.6,0.787,41.5,20.7,7.5,4.4,104.0
2014-15,1610612762,Utah Jazz,38,44,35.4,79.2,0.447,7.4,21.7,0.343,17.0,23.5,0.721,44.0,19.9,7.6,6.0,95.1
2014-15,1610612764,Washington Wizards,46,36,38.3,82.8,0.462,6.1,16.8,0.36,15.9,21.4,0.742,44.7,24.0,7.3,4.6,98.5
2015-16,1610612737,Atlanta Hawks,48,34,38.6,84.4,0.458,9.9,28.4,0.35,15.6,20.0,0.783,42.1,25.6,9.1,5.9,102.8
2015-16,1610612738,Boston Celtics,48,34,39.2,89.2,0.439,8.7,26.1,0.335,18.5,23.5,0.788,44.9,24.2,9.2,4.2,105.7
2015-16,1610612751,Brooklyn Nets,21,61,38.2,84.4,0.453,6.5,18.4,0.352,15.7,20.7,0.757,42.4,22.3,7.6,4.0,98.6
2015-16,1610612766,Charlotte Hornets,48,34,37.0,84.4,0.439,10.6,29.4,0.362,18.7,23.7,0.79,43.9,21.7,7.3,5.3,103.4
2015-16,1610612741,Chicago Bulls,42,40,38.6,87.4,0.441,7.9,21.4,0.371,16.5,21.0,0.787,46.3,22.8,6.0,5.7,101.6
2015-16,1610612739,Cleveland Cavaliers,57,25,38.7,84.0,0.46,10.7,29.6,0.362,16.3,21.7,0.748,44.5,22.7,6.7,3.9,104.3
2015-16,1610612742,Dallas Mavericks,42,40,37.4,84.1,0.444,9.8,28.6,0.344,17.7,22.3,0.794,43.1,22.1,6.8,3.7,102.3
2015-16,1610612743,Denver Nuggets,33,49,37.7,85.4,0.442,8.0,23.7,0.338,18.5,24.1,0.766,44.6,22.7,7.4,4.8,101.9
2015-16,1610612765,Detroit Pistons,44,38,37.9,86.4,0.439,9.0,26.2,0.345,17.1,25.5,0.668,46.3,19.4,7.0,3.7,102.0
2015-16,1610612744,Golden State Warriors,73,9,42.5,87.3,0.487,13.1,31.6,0.416,16.7,21.8,0.763,46.2,28.9,8.4,6.1,114.9
2015-16,1610612745,Houston Rockets,41,41,37.7,83.5,0.452,10.7,30.9,0.347,20.4,29.4,0.694,43.1,22.2,10.0,5.2,106.5
2015-16,1610612754,Indiana Pacers,45,37,38.3,85.2,0.45,8.1,23.0,0.351,17.4,22.8,0.764,44.2,21.2,9.0,4.8,102.2
2015-16,1610612746,LA Clippers,53,29,38.3,82.4,0.465,9.7,26.7,0.364,18.2,26.2,0.692,42.0,22.8,8.6,5.6,104.5
